9312	688615023	XR_659857	XR_659857.1	7955
9312	688615020	XM_001337519	XM_001337519.4	7955
9312	685042725	LN591250	LN591250.1	7962
27256	688545859	XM_005164514	XM_005164514.2	7955
27256	688545857	XM_005164513	XM_005164513.2	7955
27256	688545855	XM_005164512	XM_005164512.2	7955
27256	42415098	BX324164	BX324164.15	7955
11283	688600483	XM_009294348	XM_009294348.1	7955
11283	688600481	XM_009294347	XM_009294347.1	7955
11283	688600479	XM_009294346	XM_009294346.1	7955
11283	688600476	XM_009294345	XM_009294345.1	7955
11283	688600473	XM_009294344	XM_009294344.1	7955
11283	688600471	XM_009294343	XM_009294343.1	7955
11283	688600470	XM_003200619	XM_003200619.3	7955
11283	688600467	XM_009294342	XM_009294342.1	7955
11283	688600465	XM_009294341	XM_009294341.1	7955
11283	688600463	XM_009294340	XM_009294340.1	7955
11283	688600461	XM_009294339	XM_009294339.1	7955
11283	688600459	XM_009294338	XM_009294338.1	7955
11283	688600458	XM_005159669	XM_005159669.2	7955
11283	688600456	XM_009294337	XM_009294337.1	7955
11283	688600454	XM_005159668	XM_005159668.2	7955
11283	688600452	XM_009294336	XM_009294336.1	7955
11283	688600450	XM_009294335	XM_009294335.1	7955
11283	688600448	XM_009294334	XM_009294334.1	7955
11283	688600446	XM_009294333	XM_009294333.1	7955
11283	688600445	XM_005159667	XM_005159667.2	7955
11283	688600443	XM_005159666	XM_005159666.2	7955
11283	688600442	XM_005159665	XM_005159665.2	7955
11283	50080092	BX511004	BX511004.9	7955
27167	94384518	CR396590	CR396590.9	7955
11135	156447403	CU302322	CU302322.12	7955
11135	114326247	NM_001048064	NM_001048064.1	7955
11135	34366544	BX004995	BX004995.15	7955
11949	94384518	CR396590	CR396590.9	7955
21560	94384518	CR396590	CR396590.9	7955
6129	94384518	CR396590	CR396590.9	7955
6129	94384518	CR396590	CR396590.9	7955
6129	688575398	XM_001920721	XM_001920721.3	7955
6129	30230940	AL953903	AL953903.8	7955
6129	30230940	AL953903	AL953903.8	7955
6129	30230940	AL953903	AL953903.8	7955
6129	688575471	XM_009305646	XM_009305646.1	7955
6129	688575430	XM_002663633	XM_002663633.3	7955
